Depth First Search
Goal Found
Final Number of States Visited: 559
Final Path
Length: 558
[44, 34, 1, 56, 56, 0]
[43, 34, 0, 57, 56, 1]
[43, 35, 1, 57, 55, 0]
[42, 35, 0, 58, 55, 1]
[44, 35, 1, 56, 55, 0]
[43, 35, 0, 57, 55, 1]
[45, 35, 1, 55, 55, 0]
[44, 35, 0, 56, 55, 1]
[44, 36, 1, 56, 54, 0]
[43, 36, 0, 57, 54, 1]
[45, 36, 1, 55, 54, 0]
[44, 36, 0, 56, 54, 1]
[46, 36, 1, 54, 54, 0]
[45, 36, 0, 55, 54, 1]
[45, 37, 1, 55, 53, 0]
[44, 37, 0, 56, 53, 1]
[46, 37, 1, 54, 53, 0]
[45, 37, 0, 55, 53, 1]
[47, 37, 1, 53, 53, 0]
[46, 37, 0, 54, 53, 1]
[46, 38, 1, 54, 52, 0]
[45, 38, 0, 55, 52, 1]
[47, 38, 1, 53, 52, 0]
[46, 38, 0, 54, 52, 1]
[48, 38, 1, 52, 52, 0]
[47, 38, 0, 53, 52, 1]
[47, 39, 1, 53, 51, 0]
[46, 39, 0, 54, 51, 1]
[48, 39, 1, 52, 51, 0]
[47, 39, 0, 53, 51, 1]
[49, 39, 1, 51, 51, 0]
[48, 39, 0, 52, 51, 1]
[48, 40, 1, 52, 50, 0]
[47, 40, 0, 53, 50, 1]
[49, 40, 1, 51, 50, 0]
[48, 40, 0, 52, 50, 1]
[50, 40, 1, 50, 50, 0]
[49, 40, 0, 51, 50, 1]
[49, 41, 1, 51, 49, 0]
[48, 41, 0, 52, 49, 1]
[50, 41, 1, 50, 49, 0]
[49, 41, 0, 51, 49, 1]
[51, 41, 1, 49, 49, 0]
[50, 41, 0, 50, 49, 1]
[50, 42, 1, 50, 48, 0]
[49, 42, 0, 51, 48, 1]
[51, 42, 1, 49, 48, 0]
[50, 42, 0, 50, 48, 1]
[52, 42, 1, 48, 48, 0]
[51, 42, 0, 49, 48, 1]
[51, 43, 1, 49, 47, 0]
[50, 43, 0, 50, 47, 1]
[52, 43, 1, 48, 47, 0]
[51, 43, 0, 49, 47, 1]
[53, 43, 1, 47, 47, 0]
[52, 43, 0, 48, 47, 1]
[52, 44, 1, 48, 46, 0]
[51, 44, 0, 49, 46, 1]
[53, 44, 1, 47, 46, 0]
[52, 44, 0, 48, 46, 1]
[54, 44, 1, 46, 46, 0]
[53, 44, 0, 47, 46, 1]
[53, 45, 1, 47, 45, 0]
[52, 45, 0, 48, 45, 1]
[54, 45, 1, 46, 45, 0]
[53, 45, 0, 47, 45, 1]
[55, 45, 1, 45, 45, 0]
[54, 45, 0, 46, 45, 1]
[54, 46, 1, 46, 44, 0]
[53, 46, 0, 47, 44, 1]
[55, 46, 1, 45, 44, 0]
[54, 46, 0, 46, 44, 1]
[56, 46, 1, 44, 44, 0]
[55, 46, 0, 45, 44, 1]
[55, 47, 1, 45, 43, 0]
[54, 47, 0, 46, 43, 1]
[56, 47, 1, 44, 43, 0]
[55, 47, 0, 45, 43, 1]
[57, 47, 1, 43, 43, 0]
[56, 47, 0, 44, 43, 1]
[56, 48, 1, 44, 42, 0]
[55, 48, 0, 45, 42, 1]
[57, 48, 1, 43, 42, 0]
[56, 48, 0, 44, 42, 1]
[58, 48, 1, 42, 42, 0]
[57, 48, 0, 43, 42, 1]
[57, 49, 1, 43, 41, 0]
[56, 49, 0, 44, 41, 1]
[58, 49, 1, 42, 41, 0]
[57, 49, 0, 43, 41, 1]
[59, 49, 1, 41, 41, 0]
[58, 49, 0, 42, 41, 1]
[58, 50, 1, 42, 40, 0]
[57, 50, 0, 43, 40, 1]
[59, 50, 1, 41, 40, 0]
[58, 50, 0, 42, 40, 1]
[60, 50, 1, 40, 40, 0]
[59, 50, 0, 41, 40, 1]
[59, 51, 1, 41, 39, 0]
[58, 51, 0, 42, 39, 1]
[60, 51, 1, 40, 39, 0]
[59, 51, 0, 41, 39, 1]
[61, 51, 1, 39, 39, 0]
[60, 51, 0, 40, 39, 1]
[60, 52, 1, 40, 38, 0]
[59, 52, 0, 41, 38, 1]
[61, 52, 1, 39, 38, 0]
[60, 52, 0, 40, 38, 1]
[62, 52, 1, 38, 38, 0]
[61, 52, 0, 39, 38, 1]
[61, 53, 1, 39, 37, 0]
[60, 53, 0, 40, 37, 1]
[62, 53, 1, 38, 37, 0]
[61, 53, 0, 39, 37, 1]
[63, 53, 1, 37, 37, 0]
[62, 53, 0, 38, 37, 1]
[62, 54, 1, 38, 36, 0]
[61, 54, 0, 39, 36, 1]
[63, 54, 1, 37, 36, 0]
[62, 54, 0, 38, 36, 1]
[64, 54, 1, 36, 36, 0]
[63, 54, 0, 37, 36, 1]
[63, 55, 1, 37, 35, 0]
[62, 55, 0, 38, 35, 1]
[64, 55, 1, 36, 35, 0]
[63, 55, 0, 37, 35, 1]
[65, 55, 1, 35, 35, 0]
[64, 55, 0, 36, 35, 1]
[64, 56, 1, 36, 34, 0]
